MWE_raw_text	Institutionalized	Frequency
amor profundo	DiCE	
búsqueda de información	DiCE	
búsqueda de la felicidad.	DiCE	
cambio de la noche al día	DiLEA	
plántale cara	DiLEA	
en sus carnes	DiLEA	
a ciegas	DiLEA	
a ciencia cierta	DiLEA	
de corazon	DiLEA	
De mi corazón a tu corazón	DiLEA	
dado importancia	DiCE	
efecto secundario	DiCE, RAE	
efectos collaterales	DiCE, RAE	
efectos secundario	DiCE, RAE	
empeorado a pasos de gigantes	DiLEA (a pasos de gigante)	
estado en tu mano	DiLEA	
este de mi mano	DiLEA	
lo que este en nuestras manos	DiLEA	
fuente de energía	DiCE	
idioma único	DiLEA	
a su lado	DiLEA	
al lado de	DiLEA	
mano de santo	DiLEA	
la mosca detrás de la oreja	DiLEA	
de la noche a la mañana	DiLEA	
pan de cada día	DiLEA	
Se a pasado toda la vida	DiLEA	
a pasos de gigantes	DiLEA	
a pleno pulmón	DiLEA	
relación tan cercana	DiCE	
alto riesgo.	DiCE	
pasado síntomas por alto	DiLEA	
gran susto	DiCE	
hecho el viaje en balde	DiLEA (en balde)	
a primera vista	DiLEA	
a simple vista	DiLEA	
vueltas a la cabeza	DiLEA	
De vuelta a la lucha	DiLEA (de vuelta)	
amor profundo	DiCE	
búsqueda de información	DiCE	
búsqueda de la felicidad	DiCE	
cambio de la noche al día	DiLEA	
plántale cara	DiLEA	
en sus carnes	DiLEA	
a ciegas	DiLEA	
a ciencia cierta	DiLEA	
de corazón	DiLEA	
de mi corazón a tu corazón	DiLEA	
dado importancia	DiCE	
efecto secundario	DiCE, RAE	
tirar la toalla	DiLEA	
tirar pa'lante	DiLEA	
a tomarse a pies juntillas	DiLEA	
Te acompaño en el sentimiento	DiLEA	
sin bajar la guardia	DiLEA	
vivita y coleando	DiLEA	
es un sin vivir	DiLEA	
hasta que no lo vives no lo sabes	DiLEA	
no tienen nada que ver	DiLEA	
tenga que ver con	DiLEA	
vale la pena	RAE, DiLEA	
rompe en mil pedazos	DiLEA	
el corazón se os rompe en mil pedazos	DiLEA	
no sabe con quién se ha metido	RAE	
que si pitos, que si flautas	RAE	
lanzar las campanas al vuelo,	RAE	
matar moscas a cañonazos	no	
moriré de pie	no	
Hemos vuelto todos a nacer	no	
olía algo raro	RAE	
precio que tiene que pagar	no	
se me parte el alma	RAE	
el bajón que ha pegado	RAE	
No te pongas en lo peor	no	
no pretendo sentar cátedra	RAE	
se ha ido quedando en el camino.	DiLEA	
se va a quedar en un susto.	no	
a tomarse a pies juntillas	RAE	
cada minuto de vía vale oro	RAE	
vivita y coleando	RAE	
un soplo de aire fresco	no	
Primera línea de tratamiento	no	