main_word	MWE_raw_text	MWE_lexical_entry
deber	la esperanza no se debe perder	
deber	no debe detener tu vida.	
deber	precauciones debo tomar	deber tomar precauciones
deber	vida que deben llevar.	deber llevar una vida
haber de	ha de hacer	haber de hacer
haber que	es una carrera de obstáculos y hay que ir pasándolos	
haber que	hay que aguantar	haber que aguantar
haber que	hay que estar agradecidos	haber que estar agradecidos
haber que	hay que ser paciente	haber que ser paciente
haber que	hay que tener en cuenta	haber que tener en cuenta
haber que	siempre hay que mirar hacia delante	haber que 
poder	haya podido hacer	poder hacer
poder	intenté todo lo que pude	
poder	la enfermedad podrá con ella.	poder con alguien (la enfermedad)
poder	la pueda	
poder	ni el universo ni la tierra, van a poder conmigo	
poder	no pueden hacer nada	poder hacer nada
poder	no puedo con esto	poder con algo
poder	No puedo concentrarme	poder concentrarse
poder	no puedo estar con ella	poder estar
poder	No puedo evitar	poder evitar
poder	no puedo luchar más	poder luchar más
poder	no puedo más	poder más
poder	no puedo ni pensar	poder pensar
poder	poco te puedo decir	poder decir (poco)
poder	podéis contar con migo	poder contar con alguien
poder	podemos con todo	poder con todo
poder	poder dormir	poder dormir
poder	poder volver	poder volver
poder	podían aplicarla	poder aplicar
poder	pudieron haber hecho más	poder hacer (más)
poder	pueda hacer	poder hacer (más)
poder	puede tocar	poder tocar
poder	puedes de verdad vivir	poder vivir
poder	puedo concentrarme	poder concentrarse
poder	puedo llevar una vida bastante normal	llevar vida normal
poder	qualquier momento todo puede cambiar.	
poder	que ella no nos pueda	
poder	se le puede vencer	
poder	se puede vivir con	
poder	se pueden hacer muchas más cosas.	
poder	te puedes encontrar de todo,	poder encontrar de todo
poder	te puedes quedar tranquilo.	poder quedar(se) tranquilo
poder	todo lo puede	poder (lo) todo
poder	todos los pude llevar sin fallo	
poder	tu cuerpo va a poder resistirla.	poder resistir
poder	una buena alimentación también puede ser una buena medicina	
querer	de los que quiero	
querer	donde quiero llegar	
querer	la felicidad de los que más quiero	
querer	quieras o no	quieras o no
querer	quiere decir	quiere decir
querer	se quieren caer a trozos	
tener que	algo tenga que ver	tener (algo) que ver
tener que	el precio que tiene que pagar	el precio a pagar
tener que	es lo que tienes que hacer.	
tener que	la vida tiene que continuar con la minima normalidad.	
tener que	precio que tiene que pagar	tener que pagar un precio
tener que	tendré que volver	tener que volver
tener que	tenga que ver con	tener que ver con
tener que	tengo que estudiar	tener que estudiar
tener que	tiene que hacer	tener que hacer
tener que	tienes que pensar	tener que pensar
tener que	tuve que empezar	tener que empezar
tener que	tuve que llevar	tener que llevar
tener que	tuvo que ingresar	tener que ingresar