text,lemma,type,pos,BM,domain
soporte,soporte,uniword,NOUN,None,None
dirigidos;dirigido;dirigidas;dirigida,dirigido,uniword,ADJ,None,None
funcionará;funcionan;funciona;funcionar;funcionaron;funcionando;funcione,funcionar,uniword,VERB,None,None
aportemos;aportar,aportar,uniword,VERB,None,None
disipara,disipar,uniword,VERB,None,None
saber,saber,uniword,VERB,None,None
ayudado;ayudar,ayudar,uniword,VERB,None,None
apoyando;apoya;apoyemos.;apoyado,apoyar,uniword,VERB,None,None
ataques,ataque,uniword,NOUN,None,None
demoledor,demoledor,uniword,ADJ,None,None
soportable,soportable,uniword,ADJ,None,None
trabajo;trabajamos;trabajar;trabajando,trabajar,uniword,VERB,None,None
ventanas,ventana,uniword,NOUN,None,None
impide,impedir,uniword,VERB,None,None
ampliando,ampliar,uniword,VERB,None,None
desarrollo,desarrollo,uniword,NOUN,None,None
red,red,uniword,NOUN,None,None
presto,presto,uniword,VERB,None,None
control;controles,control,uniword,NOUN,None,None
facilitarme,facilitarmar,uniword,VERB,None,None
facilitar,facilitar,uniword,VERB,None,None
cosas;cosa,cosa,uniword,NOUN,None,None
suave,suave,uniword,ADJ,None,None
señal,señal,uniword,NOUN,None,None
alivia;aliviar,aliviar,uniword,VERB,None,None
consigas,consigar,uniword,VERB,None,None
dormirlo,dormir él,uniword,VERB,None,None
entrada,entrada,uniword,NOUN,None,None
sobrellevarlos.;sobrellevarlos,sobrellevar él,uniword,VERB,None,None
"dormido"";dormido",dormido,uniword,ADJ,None,None
animéis,animéis,uniword,VERB,None,None
energía,energía,uniword,NOUN,None,None
identifico,identificar,uniword,VERB,None,None
bajado;baja;bajar,bajar,uniword,VERB,None,None
desahogarme,desahogar yo,uniword,VERB,None,None
decaido,decaido,uniword,ADJ,None,None
desfallezcas,desfallezcar,uniword,VERB,None,None
enfrentarte,enfrentartar,uniword,VERB,None,None
recuperarte,recuperarte,uniword,VERB,None,None
darles;darle,dar él,uniword,VERB,None,None
combatir,combatir,uniword,VERB,None,None
derivaa,derivaa,uniword,VERB,None,None
meterlo,meter él,uniword,VERB,None,None
foco;focos,foco,uniword,NOUN,None,None
referencias,referencia,uniword,NOUN,None,None
cuadra,cuadra,uniword,NOUN,None,None
pasándolos,pasando él,uniword,VERB,None,None
inmersa,inmerso,uniword,ADJ,None,None
recalcarel,recalcarel,uniword,PROPN,None,None
desarrollar,desarrollar,uniword,VERB,None,None
controlar,controlar,uniword,VERB,None,None
entrar;entra,entrar,uniword,VERB,None,None
descartó;descartan;descartar;descartamos,descartar,uniword,VERB,None,None
empleada,empleado,uniword,ADJ,None,None
rematar,rematar,uniword,VERB,None,None
impacto,impacto,uniword,NOUN,None,None
obtener,obtener,uniword,VERB,None,None
aferramos,aferrar,uniword,VERB,None,None
dejarte,dejarte,uniword,VERB,None,None
formado,formado,uniword,ADJ,None,None
diseminado,diseminado,uniword,ADJ,None,None
prolongarle,prolongar él,uniword,VERB,None,None
evaden,evadir,uniword,VERB,None,None
alargue,alargue,uniword,VERB,None,None
hábitos,hábito,uniword,NOUN,None,None
acumular,acumular,uniword,VERB,None,None
un puño,uno,multiword,DET,None,None
recuperado,recuperado,uniword,ADJ,None,None
chilla,chillar,uniword,VERB,None,None
gestionar,gestionar,uniword,VERB,None,None
resto,resto,uniword,NOUN,None,None
peligroso,peligroso,uniword,ADJ,None,None
juzgo,juzgo,uniword,NOUN,None,None
aislamiento,aislamiento,uniword,NOUN,None,None
hace;hacer;haciendo;hice;hizo,hacer,uniword,VERB,None,None
confió,confiar,uniword,VERB,None,None
descubrieron;descubren,descubrir,uniword,VERB,None,None
extensos,extenso,uniword,ADJ,None,None
dependen,depender,uniword,VERB,None,None
mantener;mantiene,mantener,uniword,VERB,None,None
levantarlo,levantar él,uniword,VERB,None,None
éste sitio,este,multiword,DET,None,None
perdidos;perdida,perdido,uniword,ADJ,None,None
encontraran,encontrarar,uniword,VERB,None,None
resista,resista,uniword,ADJ,None,None
eliminación,eliminación,uniword,NOUN,None,None
desahogarte,desahogar tú,uniword,VERB,None,None
tenidoy,tenidoy,uniword,ADJ,None,None
tengas,tengas,uniword,VERB,None,None
dejaré,dejaré,uniword,VERB,None,None
dierais,dierais,uniword,VERB,None,None
bajo;bajos,bajo,uniword,ADP,None,None
depresión,depresión,uniword,NOUN,None,None
bloqueada,bloqueado,uniword,ADJ,None,None
canales,canal,uniword,NOUN,None,None
crecimiento,crecimiento,uniword,NOUN,None,None
formamos,formar,uniword,VERB,None,None
enorme,enorme,uniword,ADJ,None,None
establecieran,establecer,uniword,VERB,None,None
unión,unión,uniword,PROPN,None,None
parara,parar,uniword,VERB,None,None
es;fuera;ser fuertes;fue,ser,multiword,AUX,None,None
afluencia,afluencia,uniword,NOUN,None,None
pierda,pierda,uniword,VERB,None,None
existe,existir,uniword,VERB,None,None
defendiera,defender,uniword,VERB,None,None
insípida,insípido,uniword,ADJ,None,None
"propagando;propagó,",propagar,uniword,VERB,None,None
soporta;soportar;soportó;soporto,soportar,uniword,VERB,None,None
extendido,extendido,uniword,ADJ,None,None
creciendo,crecer,uniword,VERB,None,None
subido,subido,uniword,ADJ,None,None
recuperar,recuperar,uniword,VERB,None,None
reproduce;reproducirá,reproducir,uniword,VERB,None,None
episodios,episodio,uniword,NOUN,None,None
marchaba,marchar,uniword,VERB,None,None
lucho,lucho,uniword,VERB,None,None
ofrecerles,ofrecer él,uniword,VERB,None,None
cuenta,contar,uniword,VERB,None,None
luz,luz,uniword,NOUN,None,None
mandar;mandaron;mando,mandar,uniword,VERB,None,None
sufrir;sufren;sufrió,sufrir,uniword,VERB,None,None
capaz,capaz,uniword,ADJ,None,None
dejarme,dejar yo,uniword,VERB,None,None
puede;puedan;pueda;podrá,poder,uniword,AUX,None,None
aborde,abordar,uniword,VERB,None,None
matar,matar,uniword,VERB,None,None
limitados,limitado,uniword,NOUN,None,None
materia,materia,uniword,NOUN,None,None
sitiwnw,sitiwnw,uniword,ADJ,None,None
presenta,presentar,uniword,VERB,None,None
convencerse,convencer él,uniword,VERB,None,None
aceptar,aceptar,uniword,VERB,None,None
vaya,vaya,uniword,VERB,None,None
tenia,tenia,uniword,VERB,None,None
flojea,flojear,uniword,VERB,None,None
apoyarte,apoyartir,uniword,VERB,None,None
darte,darte,uniword,VERB,None,None
aligerar,aligerar,uniword,VERB,None,None
vencer.;vence;venceremos;venció,vencer,uniword,VERB,None,None
funciono,funciono,uniword,VERB,None,None
pararlo,parar él,uniword,VERB,None,None
regalo,regalo,uniword,PROPN,None,None
apoyarme;apoyarnos,apoyar yo,uniword,VERB,None,None
larga;largos,largo,uniword,ADJ,None,None
daros,daros,uniword,VERB,None,None
batalla,batalla,uniword,NOUN,None,None
desanime,desanime,uniword,ADV,None,None
resistente,resistente,uniword,ADJ,None,None
bloqueamos,bloquear,uniword,VERB,None,None
destroza,destrozar,uniword,VERB,None,None
enmarcan,enmarcar,uniword,VERB,None,None
faltaba,faltar,uniword,VERB,None,None
visibilidad,visibilidad,uniword,NOUN,None,None
servido,servido,uniword,ADJ,None,None
pronunciada,pronunciado,uniword,ADJ,None,None
tomar,tomar,uniword,VERB,None,None
sondesarrolladas,sondesarrollada,uniword,ADJ,None,None
luchadores;luchadores y luchadoras;luchador,luchador,uniword,ADJ,None,None
bendición,bendición,uniword,NOUN,None,None
propagado,propagado,uniword,ADJ,None,None
aguante,aguante,uniword,ADJ,None,None
entre,entre,uniword,ADP,None,None
odisea,odisea,uniword,NOUN,None,None
encargado,encargado,uniword,ADJ,None,None
desechar;desecha,desechar,uniword,VERB,None,None
claro,claro,uniword,ADJ,None,None
injusta,injusta,uniword,ADJ,None,None
evitareliminar,evitareliminar,uniword,VERB,None,None
signos,signo,uniword,NOUN,None,None
seguidos;seguido,seguido,uniword,ADJ,None,None
conectas,conectar,uniword,VERB,None,None
toque,toque,uniword,NOUN,None,None
estoydescubriendo,estoydescubreir,uniword,VERB,None,None
factor,factor,uniword,NOUN,None,None
enrollo,enrollo,uniword,NOUN,None,None
retirar,retirar,uniword,VERB,None,None
aya pasado por,aya,multiword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
avence,avence,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
bolita,bolita,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
miedo,miedo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
mande,mandir,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
recayó;recaer,recaer,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
tontería,tontería,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
aguantar;aguantando,aguantar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
irían,irir,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
"solución,",solución,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
irradia,irradiar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])
fortaleza,fortaleza,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
vndran,vndrar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
tu caso esta lleno d luz y esperanza!,tu,multiword,DET,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
aquí;aquí estamos,aquí,uniword,ADV,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
ayudarlo,ayudar él,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
adelants,adelants,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
delirio,delirio,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
ca.,ca,uniword,INTJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
desahogo,desahogo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
pa'lante.,pa'lante,uniword,ADV,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
llena;lleno,lleno,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
ánimo,ánimo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
protagonista,protagonista,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
negro,negro,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
dcaer,dcaer,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])"
profunda,profundo,uniword,ADJ,None,u.c.StringArray(elements=['personas>>apoyo'])
aferrarnos,aferrar yo,uniword,VERB,None,u.c.StringArray(elements=['personas>>apoyo'])
descubrimiento,descubrimiento,uniword,PROPN,None,u.c.StringArray(elements=['personas>>apoyo'])
desgarrador,desgarrador,uniword,ADJ,None,u.c.StringArray(elements=['personas>>apoyo'])
superación,superación,uniword,NOUN,None,u.c.StringArray(elements=['personas>>apoyo'])
fruto,fruto,uniword,NOUN,None,u.c.StringArray(elements=['personas>>apoyo'])
miraras,mirarar,uniword,VERB,None,None
fallar,fallar,uniword,VERB,None,None
vengó,vengar,uniword,VERB,None,None
unen;unirá;une,unir,uniword,VERB,None,None
tropecemos,tropezar,uniword,VERB,None,None
sueños,sueño,uniword,NOUN,None,None
recayo,recayo,uniword,PROPN,None,None
vida,vida,uniword,NOUN,None,None
peso,peso,uniword,NOUN,None,None
déjate,déjatar,uniword,VERB,None,None
nueva,nuevo,uniword,ADJ,None,None
pilló,pillar,uniword,VERB,None,None
sacan;sacando;sacar,sacar,uniword,VERB,None,None
union,union,uniword,PROPN,None,None
arrebatando,arrebatar,uniword,VERB,None,None
hombro,hombro,uniword,NOUN,None,None
afrontado,afrontado,uniword,ADJ,None,None
positivos;positiva,positivo,uniword,ADJ,None,None
fríos,frío,uniword,NOUN,None,None
choque,choque,uniword,NOUN,None,None
golpear,golpear,uniword,VERB,None,None
arrazo,arrazo,uniword,PROPN,None,None
prueba,prueba,uniword,NOUN,None,None
quitar;quitando,quitar,uniword,VERB,None,None
suene,sonar,uniword,VERB,None,None
enemigo,enemigo,uniword,ADJ,None,None
integrantes,integrante,uniword,ADJ,None,None
monstruo,monstruo,uniword,NOUN,None,None
compartomi,compartomi,uniword,ADJ,None,None
arrojaron;arrojó,arrojar,uniword,VERB,None,None
lotería,lotería,uniword,NOUN,None,None
hundida,hundido,uniword,ADJ,None,None
raíz,raíz,uniword,NOUN,None,None
riendas,rienda,uniword,NOUN,None,None
a por,a,multiword,ADP,None,None
amargados,amargado,uniword,ADJ,None,None
frene,frene,uniword,VERB,None,None
metidos,metido,uniword,ADJ,None,None
cruzarnos,cruzar yo,uniword,VERB,None,None
asimilar,asimilar,uniword,VERB,None,None
mejorarlo,mejorar él,uniword,VERB,None,None
pondrían;poniendo;puesto,poner,uniword,VERB,None,None
soltar;soltaron,soltar,uniword,VERB,None,None
prepara,preparar,uniword,VERB,None,None
parariamos.ante,parariamos.ante,uniword,ADV,None,None
desgarra,desgarra,uniword,VERB,None,None
sorteo,sorteo,uniword,NOUN,None,None
rotos;roto,roto,uniword,ADJ,None,None
respondido,respondido,uniword,ADJ,None,None
ataca,atacar,uniword,VERB,None,None
despejan,despejar,uniword,VERB,None,None
devastada;devastado,devastado,uniword,ADJ,None,None
leches,leches,uniword,NOUN,None,None
traer,traer,uniword,VERB,None,None
trago,trago,uniword,NOUN,None,None
total,total,uniword,ADJ,None,None
ganas,gana,uniword,NOUN,None,None
librando,librar,uniword,VERB,None,None
página,página,uniword,NOUN,None,None
sostén,sostén,uniword,PROPN,None,None
benigno,benigno,uniword,ADJ,None,None
descansando;descansar,descansar,uniword,VERB,None,None
morimos;moría,morir,uniword,VERB,None,None
fuente,fuente,uniword,NOUN,None,None
pelear,pelear,uniword,VERB,None,None
insasiados,insasiado,uniword,ADJ,None,None
acapara,acaparar,uniword,VERB,None,None
bruscas,brusca,uniword,ADJ,None,None
rendirse,rendir él,uniword,VERB,None,None
apoyamos,apoyamos,uniword,VERB,None,None
descalabros,descalabro,uniword,NOUN,None,None
unida,unido,uniword,ADJ,None,None
abrumador,abrumador,uniword,ADJ,None,None
perdi,perdar,uniword,VERB,None,None
soportarlo,soportar él,uniword,VERB,None,None
suavice,suavice,uniword,PROPN,None,None
idioma,idioma,uniword,NOUN,None,None
opresión,opresión,uniword,NOUN,None,None
declive,declive,uniword,NOUN,None,None
puñeteras,puñetera,uniword,ADJ,None,None
atravesando,atravesar,uniword,VERB,None,None
lejanos,lejano,uniword,ADJ,None,None
burbuja,burbuja,uniword,NOUN,None,None
tormenta,tormenta,uniword,NOUN,None,None
oscuros;oscuro,oscuro,uniword,ADJ,None,None
brutal,brutal,uniword,ADJ,None,None
impactante,impactante,uniword,ADJ,None,None
oleada,oleada,uniword,NOUN,None,None
desorientada,desorientado,uniword,ADJ,None,None
conexión,conexión,uniword,NOUN,None,None
pérdidas;pérdida,pérdida,uniword,NOUN,None,None
progresado,progresado,uniword,ADJ,None,None
abrumada,abrumado,uniword,ADJ,None,None
vacío,vacío,uniword,ADJ,None,None
amor,amor,uniword,PROPN,None,None
insoportables,insoportable,uniword,ADJ,None,None
sobrellevar,sobrellevar,uniword,VERB,None,None
apagando;apagan,apagar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
débil,débil,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
palabras,palabra,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
quefuésemosfuertes,quefuésemosfuert,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
final,final,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
toca;tocar,tocar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
seguridad,seguridad,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
